Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Authority,Hub,Clustering Coefficient,pageranks,componentnumber,Cluster,clustering,triangles,eigencentrality
"Tien, James M","Tien, James M",,12,14,5,0.420249,0.451507,902.366194,0,0.010326,0.04756,0,0.000864,0,0,0,0,0.092177
"Toivonen, Marja","Toivonen, Marja",,10,10,5,0.383966,0.42319,612.360884,2,0.008165,0.037609,0,0.000743,0,0,0,0,0.072425
"Voss, Christopher A","Voss, Christopher A",,15,18,5,0.440268,0.46599,1463.173727,3,0.012627,0.05816,0,0.001057,0,0,0,0,0.112802
"Wang, Chuan-Chung","Wang, Chuan-Chung",,8,8,5,0.418465,0.448929,528.183668,3,0.009112,0.041972,0,0.000619,0,0,0,0,0.080302
"Wong, Chee Yew","Wong, Chee Yew",,6,11,5,0.405554,0.438617,380.950927,1,0.007828,0.036057,0,0.000519,0,0,0,0,0.068985
"Wu, Chih-Wen","Wu, Chih-Wen",,6,8,5,0.412914,0.444012,302.316768,1,0.008622,0.039713,0,0.000497,0,0,0,0,0.07566
"Wuenderlich, Nancy V","Wuenderlich, Nancy V",,11,12,5,0.401153,0.437292,606.988866,1,0.010008,0.046098,0,0.000796,0,0,0,0,0.086992
"Yan, Jiaqi","Yan, Jiaqi",,7,9,5,0.380998,0.419696,240.399266,5,0.007347,0.033843,0,0.000549,0,0,0,0,0.064031
"Zanfei, Antonello","Zanfei, Antonello",,14,18,5,0.415525,0.448633,1203.466701,5,0.008605,0.039635,0,0.001005,0,0,0,0,0.079661
"Zhu, Q.","Zhu, Q.",,7,9,5,0.425081,0.453226,455.082638,3,0.010564,0.048659,0,0.00055,0,0,0,0,0.091976
"Åkesson, Maria","Åkesson, Maria",,9,9,5,0.377593,0.417836,461.043732,6,0.00822,0.037862,0,0.00068,0,0,0,0,0.071227
"Adams, Frank G","Adams, Frank G",,4,4,5,0.384966,0.421922,179.954865,3,0.006648,0.030623,0,0.000374,0,0,0,0,0.057608
"Adel, R.","Adel, R.",,8,8,5,0.372364,0.412637,272.242875,3,0.007646,0.03522,0,0.000607,0,0,0,0,0.066359
"Adham, K. A.","Adham, K. A.",,6,6,5,0.405832,0.438926,325.284471,1,0.007529,0.034679,0,0.000498,0,0,0,0,0.066819
"Agarwal, James","Agarwal, James",,8,8,5,0.413203,0.445125,477.334123,1,0.00842,0.038782,0,0.000633,0,0,0,0,0.075007
"Agarwal, N. K.","Agarwal, N. K.",,3,3,5,0.393677,0.428656,114.496994,1,0.006899,0.031778,0,0.000313,0,0,0,0,0.059601
"Aggarwal, Rebecca","Aggarwal, Rebecca",,4,4,5,0.388251,0.424669,139.632054,1,0.006048,0.027856,0,0.000381,0,0,0,0,0.053504
"Ahas, Rein","Ahas, Rein",,4,4,5,0.347839,0.387757,183.509406,1,0.00351,0.016167,0,0.000393,0,0,0,0,0.03125
"Ahonen, T.","Ahonen, T.",,8,8,5,0.414942,0.446196,454.46199,1,0.008923,0.041102,0,0.000621,0,0,0,0,0.078955
"Akpinar, Fatma","Akpinar, Fatma",,4,4,5,0.354086,0.394097,124.583754,1,0.003995,0.0184,0,0.000388,0,0,0,0,0.035553
"Aksoy, Lerzan","Aksoy, Lerzan",,3,3,5,0.34743,0.386884,43.590583,1,0.004124,0.018997,0,0.000308,0,0,0,0,0.035546
"Alam, Gazi Mahabubul","Alam, Gazi Mahabubul",,5,5,5,0.403892,0.437292,235.947343,3,0.008113,0.037368,0,0.000434,0,0,0,0,0.070504
"Alefantos, Tassos","Alefantos, Tassos",,4,4,5,0.386223,0.42288,115.729323,1,0.006227,0.028684,0,0.000375,0,0,0,0,0.05454
"Alhava, O.","Alhava, O.",,7,7,5,0.374249,0.414074,269.067786,3,0.006061,0.027918,0,0.00056,0,0,0,0,0.053666
"Alter, S.","Alter, S.",,5,5,5,0.389273,0.426064,1351.524023,3,0.007133,0.032858,0,0.00056,0,0,0,0,0.061574
"Altmann, Joern","Altmann, Joern",,6,6,5,0.362772,0.402367,304.37122,5,0.004867,0.022416,0,0.000512,0,0,0,0,0.043382
"Andreassen, Tor Wallin","Andreassen, Tor Wallin",,4,4,5,0.389273,0.425218,126.244284,1,0.006759,0.031132,0,0.000377,0,0,0,0,0.059386
"Arai, Tamio","Arai, Tamio",,5,5,5,0.395256,0.430727,176.628084,3,0.007135,0.032866,0,0.000433,0,0,0,0,0.062222
"Armbruster, Heidi","Armbruster, Heidi",,3,3,5,0.387488,0.423584,105.414651,1,0.005963,0.027468,0,0.000319,0,0,0,0,0.052348
"Arvanitis, S.","Arvanitis, S.",,5,5,5,0.381983,0.419541,385.597572,0,0.005634,0.025952,0,0.000465,0,0,0,0,0.04998
"Asaari, M. H. A. H.","Asaari, M. H. A. H.",,6,6,5,0.405554,0.438617,380.950927,1,0.007828,0.036057,0,0.000519,0,0,0,0,0.068985
"Ashenbaum, B.","Ashenbaum, B.",,3,3,5,0.358159,0.39707,52.203228,1,0.004594,0.021159,0,0.00031,0,0,0,0,0.039854
"Ashill, Nicholas J","Ashill, Nicholas J",,4,4,5,0.369803,0.408805,105.466446,3,0.006059,0.02791,0,0.000369,0,0,0,0,0.051962
"Autry, Chad W","Autry, Chad W",,4,4,5,0.384966,0.421922,179.954865,3,0.006648,0.030623,0,0.000374,0,0,0,0,0.057608
"Azadegan, A.","Azadegan, A.",,3,3,5,0.358159,0.39707,52.203228,1,0.004594,0.021159,0,0.00031,0,0,0,0,0.039854
"Ba, S.","Ba, S.",,3,3,5,0.344797,0.384334,38.549725,0,0.003704,0.017059,0,0.000313,0,0,0,0,0.032361
"Bacile, Todd J","Bacile, Todd J",,5,5,5,0.35451,0.395069,74.575792,3,0.006326,0.02914,0,0.000426,0,0,0,0,0.05388
"Bahn†, K. D.","Bahn†, K. D.",,4,4,5,0.366822,0.406157,107.120372,5,0.006698,0.03085,0,0.000368,0,0,0,0,0.057115
"Baines, Tim","Baines, Tim",,10,10,5,0.377112,0.417174,357.229796,3,0.007411,0.034138,0,0.000738,0,0,0,0,0.065135
"Bao, J.","Bao, J.",,5,5,5,0.384715,0.422063,136.980655,1,0.006233,0.028711,0,0.000434,0,0,0,0,0.054598
"Barlow, J.","Barlow, J.",,6,6,5,0.39738,0.432375,285.127953,6,0.006625,0.030514,0,0.000499,0,0,0,0,0.058972
"Baron, Steve","Baron, Steve",,6,6,5,0.367049,0.407072,157.855136,4,0.006951,0.032017,0,0.000486,0,0,0,0,0.059702
"Basoglu, N.","Basoglu, N.",,5,5,5,0.409484,0.441124,273.178797,5,0.008358,0.038498,0,0.000438,0,0,0,0,0.073592
"Batchuluun, A.","Batchuluun, A.",,4,4,5,0.3903,0.426261,148.191943,1,0.006224,0.028667,0,0.00038,0,0,0,0,0.054937
"Batnasan, J.","Batnasan, J.",,4,4,5,0.3903,0.426261,148.191943,1,0.006224,0.028667,0,0.00038,0,0,0,0,0.054937
"Bayer, S.","Bayer, S.",,6,6,5,0.39738,0.432375,285.127953,6,0.006625,0.030514,0,0.000499,0,0,0,0,0.058972
"Baysan, Serdar","Baysan, Serdar",,4,4,5,0.354086,0.394097,124.583754,1,0.003995,0.0184,0,0.000388,0,0,0,0,0.035553
"Becker, Joerg","Becker, Joerg",,3,3,5,0.384966,0.421274,112.838524,1,0.005599,0.025788,0,0.000321,0,0,0,0,0.049132
"Beitelspacher, Lauren Skinner","Beitelspacher, Lauren Skinner",,6,6,5,0.382229,0.420203,204.386226,1,0.006957,0.032043,0,0.000493,0,0,0,0,0.060485
"Beiter, K. A.","Beiter, K. A.",,6,6,5,0.403066,0.437208,276.480209,3,0.007987,0.036789,0,0.000493,0,0,0,0,0.069832
"Belal, H. M.","Belal, H. M.",,7,7,5,0.402792,0.437151,338.839635,3,0.00799,0.036801,0,0.000552,0,0,0,0,0.069875
"Belotti, Federico","Belotti, Federico",,9,9,5,0.397113,0.433221,671.987375,5,0.006784,0.031247,0,0.000699,0,0,0,0,0.062017
"Berente, Nicholas","Berente, Nicholas",,4,4,5,0.348454,0.388292,106.752035,5,0.003712,0.017097,0,0.00038,0,0,0,0,0.032876
"Berry, Leonard L","Berry, Leonard L",,4,4,5,0.389273,0.425317,117.933956,1,0.006385,0.029411,0,0.000374,0,0,0,0,0.055793
"Bertino, Elisa","Bertino, Elisa",,7,7,5,0.385217,0.42319,379.92557,6,0.006418,0.029561,0,0.000566,0,0,0,0,0.056977
"Bertram, M.","Bertram, M.",,1,1,5,0.335222,0.373471,0,1,0.003057,0.014082,0,0.000188,0,0,0,0,0.025906
"Bilgihan, A.","Bilgihan, A.",,5,5,5,0.39605,0.431164,265.601181,1,0.007145,0.03291,0,0.000449,0,0,0,0,0.062429
"Bjørn-Andersen, N.","Bjørn-Andersen, N.",,5,5,5,0.382724,0.420471,202.858529,6,0.006653,0.030644,0,0.000438,0,0,0,0,0.057808
"Blasco-Arcas, Lorena","Blasco-Arcas, Lorena",,6,6,5,0.380019,0.418104,247.695466,5,0.007929,0.036523,0,0.00049,0,0,0,0,0.06855
"Blocker, Christopher P","Blocker, Christopher P",,4,4,5,0.362328,0.402029,90.084113,1,0.005427,0.024997,0,0.000372,0,0,0,0,0.046753
"Bolton, Ruth N","Bolton, Ruth N",,4,4,5,0.389273,0.425317,117.933956,1,0.006385,0.029411,0,0.000374,0,0,0,0,0.055793
"Boutin, P. J.","Boutin, P. J.",,4,4,5,0.362328,0.402029,90.084113,1,0.005427,0.024997,0,0.000372,0,0,0,0,0.046753
"Boutin, Philip J, Jr","Boutin, Philip J, Jr",,4,4,5,0.362328,0.402029,90.084113,1,0.005427,0.024997,0,0.000372,0,0,0,0,0.046753
"Bouzaabia, Olfa","Bouzaabia, Olfa",,2,2,5,0.335984,0.374669,8.680543,3,0.003307,0.015231,0,0.000248,0,0,0,0,0.028169
"Bowen, David E","Bowen, David E",,11,11,5,0.427539,0.456128,813.17976,4,0.010632,0.048973,0,0.000802,0,0,0,0,0.09433
"Brady, Michael K","Brady, Michael K",,3,3,5,0.34743,0.386884,43.590583,1,0.004124,0.018997,0,0.000308,0,0,0,0,0.035546
"Brehme, P.-O.","Brehme, P.-O.",,6,6,5,0.426306,0.453621,501.636074,6,0.009385,0.043227,0,0.0005,0,0,0,0,0.082513
"Breidbach, Christoph Friedrich","Breidbach, Christoph Friedrich",,12,12,5,0.425693,0.455311,854.908294,3,0.0133,0.06126,0,0.000843,0,0,0,0,0.115405
"Bridges, Cheryl H","Bridges, Cheryl H",,4,4,5,0.389273,0.425317,117.933956,1,0.006385,0.029411,0,0.000374,0,0,0,0,0.055793
"Brodie, Roderick","Brodie, Roderick",,12,12,5,0.425693,0.455311,854.908294,3,0.0133,0.06126,0,0.000843,0,0,0,0,0.115405
"Brodie, Roderick J","Brodie, Roderick J",,3,3,5,0.354086,0.393942,40.266068,3,0.005846,0.026927,0,0.000307,0,0,0,0,0.049506
"Brohman, M Kathryn","Brohman, M Kathryn",,13,13,5,0.403341,0.439983,848.628528,3,0.010962,0.05049,0,0.00093,0,0,0,0,0.095443
"Brozovic, Danilo","Brozovic, Danilo",,9,9,5,0.386223,0.424739,317.071414,3,0.009507,0.04379,0,0.000656,0,0,0,0,0.081682
"Brudvig, Susan","Brudvig, Susan",,5,5,5,0.368192,0.40758,107.814295,1,0.005967,0.027485,0,0.000427,0,0,0,0,0.051689
"Bruns, Katherina","Bruns, Katherina",,5,5,5,0.35451,0.395069,189.858479,3,0.006036,0.027802,0,0.000446,0,0,0,0,0.051566
"Brunswicker, Sabine","Brunswicker, Sabine",,7,7,5,0.385217,0.42319,379.92557,6,0.006418,0.029561,0,0.000566,0,0,0,0,0.056977
"Burger, Thomas","Burger, Thomas",,7,7,5,0.386475,0.424148,245.55232,1,0.006483,0.029863,0,0.000555,0,0,0,0,0.057448
"Burton, Jamie","Burton, Jamie",,6,6,5,0.385971,0.423471,263.139053,3,0.007026,0.032364,0,0.000497,0,0,0,0,0.0614
"Cadwallader, Susan","Cadwallader, Susan",,4,4,5,0.382972,0.420231,163.826116,1,0.005659,0.026066,0,0.00039,0,0,0,0,0.049683
"Calabrese, Armando","Calabrese, Armando",,4,4,5,0.38149,0.419062,121.34568,1,0.006479,0.029845,0,0.00037,0,0,0,0,0.055976
"Camacho, J. A.","Camacho, J. A.",,5,5,5,0.392111,0.427797,437.727245,5,0.006279,0.02892,0,0.000456,0,0,0,0,0.055693
"Camen, Carolina","Camen, Carolina",,10,10,5,0.383966,0.42319,812.409309,4,0.007018,0.032327,0,0.000795,0,0,0,0,0.062314
"Caniels, Marjolein C J","Caniels, Marjolein C J",,2,2,5,0.35324,0.392054,29.877824,5,0.003978,0.018325,0,0.00025,0,0,0,0,0.034441
"Caniëls, M. C. J.","Caniëls, M. C. J.",,2,2,5,0.35324,0.392054,29.877824,5,0.003978,0.018325,0,0.00025,0,0,0,0,0.034441
"Carlborg, Per","Carlborg, Per",,3,3,5,0.387488,0.423584,105.414651,1,0.005963,0.027468,0,0.000319,0,0,0,0,0.052348
"Casbarra, Claudia","Casbarra, Claudia",,5,5,5,0.360341,0.400578,109.400435,3,0.006572,0.030269,0,0.000426,0,0,0,0,0.056103
"Cassab, H.","Cassab, H.",,7,7,5,0.391852,0.428487,284.220498,1,0.006647,0.030617,0,0.000562,0,0,0,0,0.058953
"Castaldo, Sandro","Castaldo, Sandro",,5,5,5,0.368192,0.40758,107.814295,1,0.005967,0.027485,0,0.000427,0,0,0,0,0.051689
"Chaiyawat, T.","Chaiyawat, T.",,4,4,5,0.404998,0.437588,223.960064,1,0.007225,0.033281,0,0.000383,0,0,0,0,0.063512
"Chan, Wai Kin Victor","Chan, Wai Kin Victor",,3,3,5,0.367505,0.40634,59.926804,3,0.005927,0.027298,0,0.000307,0,0,0,0,0.050397
"Chandler, Jennifer D.","Chandler, Jennifer D.",,7,7,5,0.371662,0.411947,273.044265,3,0.007831,0.036072,0,0.000555,0,0,0,0,0.067318
"Chaparro-Pelaez, Julian","Chaparro-Pelaez, Julian",,9,9,5,0.408918,0.442209,826.031855,0,0.00824,0.037957,0,0.000699,0,0,0,0,0.073931
"Chellappa, Ramnath K","Chellappa, Ramnath K",,7,7,5,0.379288,0.417921,476.725522,5,0.005771,0.026582,0,0.000581,0,0,0,0,0.052365
"Chen, Chih-Cheng Volvic","Chen, Chih-Cheng Volvic",,4,4,5,0.358811,0.398943,63.926196,3,0.00625,0.028787,0,0.000366,0,0,0,0,0.053217
"Chen, Chih-Jou","Chen, Chih-Jou",,4,4,5,0.358811,0.398943,63.926196,3,0.00625,0.028787,0,0.000366,0,0,0,0,0.053217
"Chen, J. K. C.","Chen, J. K. C.",,4,4,5,0.3903,0.426261,148.191943,1,0.006224,0.028667,0,0.00038,0,0,0,0,0.054937
"Chen, Kuo-Min","Chen, Kuo-Min",,6,6,5,0.367277,0.407185,287.507182,3,0.005675,0.026139,0,0.000503,0,0,0,0,0.049985
"Chen, R.-H.","Chen, R.-H.",,4,4,5,0.386475,0.42319,119.100947,1,0.00618,0.028466,0,0.000378,0,0,0,0,0.05439
"Chen, Shin-Horng","Chen, Shin-Horng",,7,7,5,0.410052,0.442449,418.805134,3,0.00799,0.036804,0,0.000557,0,0,0,0,0.070678
"Chen, Yuh-Jen","Chen, Yuh-Jen",,5,5,5,0.39552,0.430938,568.378775,2,0.006462,0.029766,0,0.000468,0,0,0,0,0.057351
"Chen, Yuh-Min","Chen, Yuh-Min",,5,5,5,0.39552,0.430938,568.378775,2,0.006462,0.029766,0,0.000468,0,0,0,0,0.057351
"Cheng, Yi-Han","Cheng, Yi-Han",,5,5,5,0.406949,0.439321,229.348645,1,0.008033,0.036999,0,0.000437,0,0,0,0,0.070222
"Chi-Shiun, Lai","Chi-Shiun, Lai",,6,6,5,0.380019,0.418301,221.801322,5,0.007865,0.036229,0,0.000489,0,0,0,0,0.067673
"Chih, Wen Hai","Chih, Wen Hai",,6,6,5,0.39552,0.431192,254.662788,1,0.007666,0.03531,0,0.000504,0,0,0,0,0.066924
"Ching, Russell K H","Ching, Russell K H",,7,7,5,0.421747,0.450803,443.07336,1,0.009793,0.045109,0,0.000559,0,0,0,0,0.085763
"Chiu, K. K.-S.","Chiu, K. K.-S.",,4,4,5,0.386475,0.42319,119.100947,1,0.00618,0.028466,0,0.000378,0,0,0,0,0.05439
"Chiummo, Gabriel","Chiummo, Gabriel",,4,4,5,0.356004,0.396097,65.109012,3,0.006143,0.028295,0,0.000367,0,0,0,0,0.052296
"Choi, Byounggu","Choi, Byounggu",,5,5,5,0.391333,0.427557,448.25613,2,0.006014,0.027703,0,0.000466,0,0,0,0,0.053453
"Chong, Alain Yee-Loong","Chong, Alain Yee-Loong",,7,7,5,0.429713,0.456002,558.329141,5,0.010508,0.048399,0,0.000561,0,0,0,0,0.092998
"Chou, Seng-Cho T","Chou, Seng-Cho T",,9,9,5,0.408636,0.442195,415.198745,1,0.008607,0.039647,0,0.000675,0,0,0,0,0.075821
"Chuang, L.-C.","Chuang, L.-C.",,3,3,5,0.338871,0.378191,18.232534,1,0.003793,0.017471,0,0.000306,0,0,0,0,0.032362
"Chuang, Shu-Hui","Chuang, Shu-Hui",,7,7,5,0.383966,0.42233,285.929598,0,0.007023,0.03235,0,0.000559,0,0,0,0,0.061255
"Chumpitaz Caceres, Ruben","Chumpitaz Caceres, Ruben",,7,7,5,0.368881,0.409411,388.318685,3,0.007552,0.034785,0,0.00057,0,0,0,0,0.064833
"Claudy, Marius C","Claudy, Marius C",,4,4,5,0.408353,0.439927,232.058227,5,0.00798,0.036758,0,0.000379,0,0,0,0,0.07024
"Colomo-Palacios, Ricardo","Colomo-Palacios, Ricardo",,5,5,5,0.394465,0.429797,319.319849,1,0.006663,0.030692,0,0.000453,0,0,0,0,0.05945
"Conrick, M.","Conrick, M.",,11,11,5,0.427848,0.456241,803.238582,0,0.010587,0.048767,0,0.000801,0,0,0,0,0.095153
"Corrigan, M.","Corrigan, M.",,6,6,5,0.385971,0.423274,305.305371,5,0.006865,0.031622,0,0.000502,0,0,0,0,0.060353
"Corrocher, Nicoletta","Corrocher, Nicoletta",,3,3,5,0.349483,0.389194,116.307646,0,0.003671,0.016908,0,0.000323,0,0,0,0,0.032571
"Cromer, Cory","Cromer, Cory",,7,7,5,0.400338,0.435052,397.751956,0,0.007425,0.034199,0,0.000567,0,0,0,0,0.066073
"Cruz, S.","Cruz, S.",,8,8,5,0.397915,0.433601,442.011672,2,0.006748,0.031084,0,0.00063,0,0,0,0,0.060937
"Cunha, A. B.","Cunha, A. B.",,5,5,5,0.37073,0.409806,232.903611,1,0.005484,0.025258,0,0.000441,0,0,0,0,0.04798
"Curry, R.","Curry, R.",,6,6,5,0.39738,0.432375,285.127953,6,0.006625,0.030514,0,0.000499,0,0,0,0,0.058972
"Cáceres, R. C.","Cáceres, R. C.",,7,7,5,0.368881,0.409411,388.318685,3,0.007552,0.034785,0,0.00057,0,0,0,0,0.064833
"D'Alvano, Luigi","D'Alvano, Luigi",,5,5,5,0.401153,0.434883,259.909613,1,0.006793,0.03129,0,0.000444,0,0,0,0,0.06037
"Dai, C.","Dai, C.",,5,5,5,0.364336,0.404184,122.273858,3,0.006063,0.027929,0,0.000431,0,0,0,0,0.052136
"Dalela, Vivek","Dalela, Vivek",,3,3,5,0.375436,0.413525,104.646029,3,0.006006,0.027665,0,0.000312,0,0,0,0,0.051611
"Dalli, Daniele","Dalli, Daniele",,4,4,5,0.371662,0.410496,98.027278,3,0.007254,0.033414,0,0.000367,0,0,0,0,0.061647
"Davidson, Anthony","Davidson, Anthony",,9,9,5,0.386223,0.424739,317.071414,3,0.009507,0.04379,0,0.000656,0,0,0,0,0.081682
"de Grandbois, Y.","de Grandbois, Y.",,8,8,5,0.375436,0.415187,240.731707,1,0.007244,0.033365,0,0.00061,0,0,0,0,0.063113
"de Jong, Mark W","de Jong, Mark W",,4,4,5,0.38322,0.420442,110.109901,1,0.005951,0.027409,0,0.000375,0,0,0,0,0.05216
"Dedene, Guido","Dedene, Guido",,6,6,5,0.396581,0.432234,351.691167,3,0.007957,0.036651,0,0.000498,0,0,0,0,0.06907
"Denni, Mario","Denni, Mario",,9,9,5,0.397113,0.433221,671.987375,5,0.006784,0.031247,0,0.000699,0,0,0,0,0.062017
"Desai, D.","Desai, D.",,4,4,5,0.349277,0.389434,48.924135,3,0.004925,0.022686,0,0.000367,0,0,0,0,0.042026
"Diamantopoulou, V.","Diamantopoulou, V.",,5,5,5,0.381983,0.419541,385.597572,0,0.005634,0.025952,0,0.000465,0,0,0,0,0.04998
"Diaz-Martin, Ana M","Diaz-Martin, Ana M",,6,6,5,0.364561,0.404452,155.638291,3,0.006356,0.029278,0,0.000489,0,0,0,0,0.055004
"Diffley, Sarah","Diffley, Sarah",,7,7,5,0.388761,0.426345,327.528551,1,0.008249,0.037998,0,0.000563,0,0,0,0,0.071524
"Ding, Yi","Ding, Yi",,5,5,5,0.376392,0.415075,151.19047,3,0.008376,0.038583,0,0.000426,0,0,0,0,0.071307
"Dong, Beibei","Dong, Beibei",,4,4,5,0.355576,0.395773,56.017202,1,0.006204,0.028576,0,0.000367,0,0,0,0,0.052609
"Dong, Ching-Shen James","Dong, Ching-Shen James",,8,8,5,0.384216,0.422598,301.109487,0,0.00804,0.037033,0,0.000606,0,0,0,0,0.070194
"Dragoicea, Monica","Dragoicea, Monica",,10,10,5,0.387742,0.426261,419.796454,3,0.008963,0.041283,0,0.000731,0,0,0,0,0.078132
"Drəgoicea, M.","Drəgoicea, M.",,10,10,5,0.387742,0.426261,419.796454,3,0.008963,0.041283,0,0.000731,0,0,0,0,0.078132
"Dubiel, A.","Dubiel, A.",,5,5,5,0.354723,0.394689,158.465858,5,0.004317,0.019885,0,0.000447,0,0,0,0,0.038237
"Duennebeil, Sebastian","Duennebeil, Sebastian",,5,5,5,0.358376,0.39838,145.130471,5,0.004272,0.019679,0,0.000439,0,0,0,0,0.038124
"Díaz-Martín, A. M.","Díaz-Martín, A. M.",,6,6,5,0.364561,0.404452,155.638291,3,0.006356,0.029278,0,0.000489,0,0,0,0,0.055004
"E Cunha, J. F.","E Cunha, J. F.",,10,10,5,0.387742,0.426261,419.796454,3,0.008963,0.041283,0,0.000731,0,0,0,0,0.078132
"Echeverri, Per","Echeverri, Per",,6,6,5,0.354935,0.395844,321.379391,3,0.006071,0.027964,0,0.000522,0,0,0,0,0.052022
"Edgar, David","Edgar, David",,4,4,5,0.386223,0.42288,115.729323,1,0.006227,0.028684,0,0.000375,0,0,0,0,0.05454
"Ehrenthal, Joachim C F","Ehrenthal, Joachim C F",,6,6,5,0.361442,0.402085,111.315415,3,0.007036,0.032409,0,0.00048,0,0,0,0,0.060005
"Enz, M. G.","Enz, M. G.",,5,5,5,0.367049,0.406819,129.74849,3,0.006877,0.031675,0,0.000426,0,0,0,0,0.058878
"Ernst, H.","Ernst, H.",,5,5,5,0.354723,0.394689,158.465858,5,0.004317,0.019885,0,0.000447,0,0,0,0,0.038237
"Essén, A.","Essén, A.",,11,11,5,0.427848,0.456241,803.238582,0,0.010587,0.048767,0,0.000801,0,0,0,0,0.095153
"Evans, Kenneth R","Evans, Kenneth R",,4,4,5,0.355576,0.395773,56.017202,1,0.006204,0.028576,0,0.000367,0,0,0,0,0.052609
"Evanschitzky, Heiner","Evanschitzky, Heiner",,5,5,5,0.396581,0.431291,188.660012,1,0.007306,0.033654,0,0.000435,0,0,0,0,0.064327
"Fan, Xiucheng","Fan, Xiucheng",,6,6,5,0.397915,0.432798,447.543592,2,0.006466,0.029781,0,0.000514,0,0,0,0,0.057848
"Fang, S.-C.","Fang, S.-C.",,4,4,5,0.390816,0.426486,128.85755,1,0.006717,0.03094,0,0.000375,0,0,0,0,0.058889
"Fang, Y.","Fang, Y.",,4,4,5,0.368192,0.407326,351.5758,0,0.005096,0.023471,0,0.000418,0,0,0,0,0.044454
"Faulkner, P.","Faulkner, P.",,2,2,5,0.335413,0.374035,213.871665,1,0.003068,0.014129,0,0.000307,0,0,0,0,0.026275
"Fei, Yan-Lin","Fei, Yan-Lin",,8,8,5,0.412052,0.444379,571.412643,5,0.008754,0.040322,0,0.000632,0,0,0,0,0.077028
"Fill, Hans-Georg","Fill, Hans-Georg",,11,11,5,0.397647,0.434545,585.065963,5,0.008495,0.03913,0,0.000801,0,0,0,0,0.075373
"Firth, Robert","Firth, Robert",,5,5,5,0.376392,0.415075,151.19047,3,0.008376,0.038583,0,0.000426,0,0,0,0,0.071307
"Flint, Daniel John","Flint, Daniel John",,4,4,5,0.362328,0.402029,90.084113,1,0.005427,0.024997,0,0.000372,0,0,0,0,0.046753
"Foss, Lene","Foss, Lene",,4,4,5,0.358811,0.398746,73.682367,1,0.006461,0.029762,0,0.000367,0,0,0,0,0.054919
Frías-Jamilena D. M.,Frías-Jamilena D. M.,,5,5,5,0.385217,0.422682,190.215233,1,0.007867,0.036237,0,0.000432,0,0,0,0,0.06756
"Fujigaki, Yuko","Fujigaki, Yuko",,10,10,5,0.434128,0.460313,857.305446,1,0.013222,0.060901,0,0.000744,0,0,0,0,0.115239
"Fukuda, Ken","Fukuda, Ken",,3,3,5,0.345401,0.385066,106.154247,2,0.003699,0.017038,0,0.000317,0,0,0,0,0.032259
"Gabler, Colin B","Gabler, Colin B",,4,4,5,0.384966,0.421922,179.954865,3,0.006648,0.030623,0,0.000374,0,0,0,0,0.057608
"Galvagno, Marco","Galvagno, Marco",,4,4,5,0.371662,0.410496,98.027278,3,0.007254,0.033414,0,0.000367,0,0,0,0,0.061647
"Garcia, Rosanna","Garcia, Rosanna",,4,4,5,0.408353,0.439927,232.058227,5,0.00798,0.036758,0,0.000379,0,0,0,0,0.07024
"Ghose, A.","Ghose, A.",,5,5,5,0.352608,0.392773,101.554946,5,0.00431,0.019852,0,0.000434,0,0,0,0,0.038185
"Giungato, Gerolamo","Giungato, Gerolamo",,9,9,5,0.397113,0.433221,671.987375,5,0.006784,0.031247,0,0.000699,0,0,0,0,0.062017
"Goldschmidt-Clermont, P.","Goldschmidt-Clermont, P.",,8,8,5,0.404721,0.438983,478.130522,3,0.008716,0.040148,0,0.000616,0,0,0,0,0.076571
"Gomes, Paulo J","Gomes, Paulo J",,7,7,5,0.410621,0.442871,453.914221,1,0.008159,0.03758,0,0.000579,0,0,0,0,0.072383
"Gopi, M.","Gopi, M.",,5,5,5,0.394465,0.429797,319.319849,1,0.006663,0.030692,0,0.000453,0,0,0,0,0.05945
"Gounaris, Spiros","Gounaris, Spiros",,7,7,5,0.425081,0.45293,472.994498,5,0.010336,0.047608,0,0.000558,0,0,0,0,0.090923
"Gowanit, C.","Gowanit, C.",,4,4,5,0.404998,0.437588,223.960064,1,0.007225,0.033281,0,0.000383,0,0,0,0,0.063512
"Graham, G.","Graham, G.",,9,9,5,0.387996,0.425923,520.371284,5,0.008256,0.038026,0,0.000683,0,0,0,0,0.072806
"Grant, Kevin","Grant, Kevin",,4,4,5,0.386223,0.42288,115.729323,1,0.006227,0.028684,0,0.000375,0,0,0,0,0.05454
"Granzin, K. L.","Granzin, K. L.",,4,4,5,0.366822,0.406157,107.120372,5,0.006698,0.03085,0,0.000368,0,0,0,0,0.057115
"Gray, P. H.","Gray, P. H.",,2,2,5,0.343596,0.382516,17.329571,5,0.003646,0.016796,0,0.000249,0,0,0,0,0.031344
"Gremyr, Ida","Gremyr, Ida",,5,5,5,0.393154,0.429036,184.698582,1,0.006501,0.029946,0,0.000437,0,0,0,0,0.057321
"Grisot, M.","Grisot, M.",,2,2,5,0.343596,0.382516,17.329571,5,0.003646,0.016796,0,0.000249,0,0,0,0,0.031344
"Grosso, Monica","Grosso, Monica",,5,5,5,0.368192,0.40758,107.814295,1,0.005967,0.027485,0,0.000427,0,0,0,0,0.051689
